Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
"NIT, Jalandhar",Bio Technology ,AI,ST,Gender-Neutral,190104,216787,2021,1
"NIT, Jalandhar",Bio Technology ,AI,ST,Female-only ,261886,261886,2021,1
"NIT, Jalandhar",Bio Technology ,HS,OPEN,Gender-Neutral,91584,220630,2021,1
"NIT, Jalandhar",Bio Technology ,HS,OPEN,Female-only ,82147,82147,2021,1
"NIT, Jalandhar",Bio Technology ,HS,EWS,Gender-Neutral,289905,339544,2021,1
"NIT, Jalandhar",Bio Technology ,HS,OBC-NCL,Gender-Neutral,221871,221871,2021,1
"NIT, Jalandhar",Bio Technology ,HS,OBC-NCL,Female-only ,284407,284407,2021,1
"NIT, Jalandhar",Bio Technology ,HS,SC,Gender-Neutral,291406,294123,2021,1
"NIT, Jalandhar",Bio Technology ,HS,SC,Female-only ,299953,299953,2021,1
"NIT, Jalandhar",Bio Technology ,OS,OPEN,Gender-Neutral,48041,55745,2021,1
"NIT, Jalandhar",Bio Technology ,OS,OPEN,Female-only ,50115,61878,2021,1
"NIT, Jalandhar",Bio Technology ,OS,EWS,Gender-Neutral,58127,58285,2021,1
"NIT, Jalandhar",Bio Technology ,OS,EWS,Female-only ,68164,68164,2021,1
"NIT, Jalandhar",Bio Technology ,OS,OBC-NCL,Gender-Neutral,57198,61249,2021,1
"NIT, Jalandhar",Bio Technology ,OS,OBC-NCL,Female-only ,79628,79628,2021,1
"NIT, Jalandhar",Bio Technology ,OS,SC,Gender-Neutral,151615,172318,2021,1
"NIT, Jalandhar",Bio Technology ,OS,ST,Gender-Neutral,237029,240297,2021,1
"NIT, Jalandhar",Bio Technology ,OS,ST,Female-only ,293492,293492,2021,1
"NIT, Jalandhar",Chemical Engg. ,AI,ST,Gender-Neutral,188949,223279,2021,1
"NIT, Jalandhar",Chemical Engg. ,AI,ST,Female-only ,211089,211089,2021,1
"NIT, Jalandhar",Chemical Engg. ,HS,OPEN,Gender-Neutral,45772,79698,2021,1
"NIT, Jalandhar",Chemical Engg. ,HS,EWS,Gender-Neutral,86803,98090,2021,1
"NIT, Jalandhar",Chemical Engg. ,HS,EWS,Female-only ,90539,90539,2021,1
"NIT, Jalandhar",Chemical Engg. ,HS,OBC-NCL,Gender-Neutral,193126,193126,2021,1
"NIT, Jalandhar",Chemical Engg. ,OS,OPEN,Gender-Neutral,33673,39210,2021,1
"NIT, Jalandhar",Chemical Engg. ,OS,OPEN,Female-only ,42515,49760,2021,1
"NIT, Jalandhar",Chemical Engg. ,OS,EWS,Gender-Neutral,41624,43858,2021,1
"NIT, Jalandhar",Chemical Engg. ,OS,EWS,Female-only ,65145,65145,2021,1
"NIT, Jalandhar",Chemical Engg. ,OS,OBC-NCL,Gender-Neutral,45965,47228,2021,1
"NIT, Jalandhar",Chemical Engg. ,OS,OBC-NCL,Female-only ,63205,63205,2021,1
"NIT, Jalandhar",Chemical Engg. ,OS,SC,Gender-Neutral,115427,140258,2021,1
"NIT, Jalandhar",Chemical Engg. ,OS,ST,Gender-Neutral,225052,229319,2021,1
"NIT, Jalandhar",Chemical Engg. ,OS,ST,Female-only ,244895,244895,2021,1
"NIT, Jalandhar",Civil Engg. ,AI,ST,Gender-Neutral,120768,132307,2021,1
"NIT, Jalandhar",Civil Engg. ,AI,ST,Female-only ,182423,182423,2021,1
"NIT, Jalandhar",Civil Engg. ,HS,OPEN,Gender-Neutral,56773,68890,2021,1
"NIT, Jalandhar",Civil Engg. ,HS,OPEN,Female-only ,66878,69097,2021,1
"NIT, Jalandhar",Civil Engg. ,HS,EWS,Gender-Neutral,104913,104913,2021,1
"NIT, Jalandhar",Civil Engg. ,HS,EWS,Female-only ,126893,159193,2021,1
"NIT, Jalandhar",Civil Engg. ,HS,OBC-NCL,Gender-Neutral,202848,202848,2021,1
"NIT, Jalandhar",Civil Engg. ,HS,SC,Gender-Neutral,214931,214931,2021,1
"NIT, Jalandhar",Civil Engg. ,OS,OPEN,Gender-Neutral,35415,41698,2021,1
"NIT, Jalandhar",Civil Engg. ,OS,OPEN,Female-only ,54831,56026,2021,1
"NIT, Jalandhar",Civil Engg. ,OS,EWS,Gender-Neutral,41873,42480,2021,1
"NIT, Jalandhar",Civil Engg. ,OS,EWS,Female-only ,67108,67108,2021,1
"NIT, Jalandhar",Civil Engg. ,OS,OBC-NCL,Gender-Neutral,43777,44689,2021,1
"NIT, Jalandhar",Civil Engg. ,OS,OBC-NCL,Female-only ,69918,69918,2021,1
"NIT, Jalandhar",Civil Engg. ,OS,SC,Gender-Neutral,128588,128588,2021,1
"NIT, Jalandhar",Civil Engg. ,OS,ST,Gender-Neutral,158752,166050,2021,1
"NIT, Jalandhar",Civil Engg. ,OS,ST,Female-only ,188807,188807,2021,1
"NIT, Jalandhar",Computer Science and Engg. ,HS,OPEN,Gender-Neutral,10086,12757,2021,1
"NIT, Jalandhar",Computer Science and Engg. ,HS,OPEN,Female-only ,12368,12368,2021,1
"NIT, Jalandhar",Computer Science and Engg. ,HS,OBC-NCL,Gender-Neutral,17865,17865,2021,1
"NIT, Jalandhar",Computer Science and Engg. ,HS,SC,Gender-Neutral,74700,74700,2021,1
"NIT, Jalandhar",Computer Science and Engg. ,OS,OPEN,Gender-Neutral,5540,10011,2021,1
"NIT, Jalandhar",Computer Science and Engg. ,OS,OPEN,Female-only ,13703,13703,2021,1
"NIT, Jalandhar",Computer Science and Engg. ,OS,EWS,Gender-Neutral,10226,10458,2021,1
"NIT, Jalandhar",Computer Science and Engg. ,OS,EWS,Female-only ,18554,18554,2021,1
"NIT, Jalandhar",Computer Science and Engg. ,OS,OBC-NCL,Gender-Neutral,14178,14533,2021,1
"NIT, Jalandhar",Computer Science and Engg. ,OS,OBC-NCL,Female-only ,21444,21444,2021,1
"NIT, Jalandhar",Computer Science and Engg. ,OS,SC,Gender-Neutral,60612,65643,2021,1
"NIT, Jalandhar",Computer Science and Engg. ,OS,ST,Gender-Neutral,75722,75722,2021,1
"NIT, Jalandhar",Electrical Engg. ,AI,ST,Gender-Neutral,131429,152066,2021,1
"NIT, Jalandhar",Electrical Engg. ,AI,ST,Female-only ,188313,188313,2021,1
"NIT, Jalandhar",Electrical Engg. ,HS,OPEN,Gender-Neutral,26439,28653,2021,1
